image_name,true,pred,probability
ISIC_0215966,0,0,"[0.9315310120582581, 0.06846903264522552]"
ISIC_0216690,0,0,"[0.9903837442398071, 0.009616262279450893]"
ISIC_0217111,0,0,"[0.9748987555503845, 0.02510126866400242]"
ISIC_0220926,0,0,"[0.9939431548118591, 0.006056803744286299]"
ISIC_0224397,0,0,"[0.9956583976745605, 0.0043416377156972885]"
ISIC_0227038,0,0,"[0.8107532858848572, 0.18924668431282043]"
ISIC_0228659,0,0,"[0.8763924837112427, 0.12360746413469315]"
ISIC_0232785,0,0,"[0.9530627727508545, 0.046937212347984314]"
ISIC_0235728,0,0,"[0.9261171221733093, 0.07388284057378769]"
ISIC_0236510,0,0,"[0.9940720200538635, 0.005928028374910355]"
ISIC_0236531,0,0,"[0.970306932926178, 0.029693128541111946]"
ISIC_0237514,0,0,"[0.8810766935348511, 0.11892332881689072]"
ISIC_0238215,0,0,"[0.9941586256027222, 0.005841442383825779]"
ISIC_0238570,0,0,"[0.9739113450050354, 0.0260886512696743]"
ISIC_0238824,0,0,"[0.9471583366394043, 0.05284164845943451]"
ISIC_0238871,0,0,"[0.9949904084205627, 0.005009590648114681]"
ISIC_0238940,0,0,"[0.9855158925056458, 0.014484073035418987]"
ISIC_0239178,0,0,"[0.9845966696739197, 0.015403377823531628]"
ISIC_0239597,0,0,"[0.9829757809638977, 0.017024222761392593]"
ISIC_0244877,0,0,"[0.9492227435112, 0.05077720433473587]"
ISIC_0246090,0,0,"[0.9709305763244629, 0.029069390147924423]"
ISIC_0248218,0,0,"[0.9943844079971313, 0.005615598522126675]"
ISIC_0248628,0,0,"[0.9417697787284851, 0.0582302026450634]"
ISIC_0250069,0,0,"[0.983654797077179, 0.016345178708434105]"
ISIC_0253516,0,0,"[0.9721714854240417, 0.027828484773635864]"
ISIC_0254158,0,0,"[0.9692146182060242, 0.030785365030169487]"
ISIC_0254517,0,0,"[0.9779112935066223, 0.022088773548603058]"
ISIC_0260475,0,0,"[0.944980800151825, 0.05501919612288475]"
ISIC_0261499,0,0,"[0.9571506381034851, 0.04284941032528877]"
ISIC_0267054,0,0,"[0.9627230167388916, 0.03727695345878601]"
ISIC_0268187,0,0,"[0.9942580461502075, 0.00574190728366375]"
ISIC_0268811,0,0,"[0.9489802718162537, 0.05101974308490753]"
ISIC_0270101,0,0,"[0.9849020838737488, 0.015097933821380138]"
ISIC_0271017,0,0,"[0.9275752305984497, 0.07242484390735626]"
ISIC_0273222,0,0,"[0.9006785154342651, 0.09932149946689606]"
ISIC_0275661,0,0,"[0.9861828088760376, 0.013817244209349155]"
ISIC_0277859,0,0,"[0.9671643376350403, 0.03283566236495972]"
ISIC_0278021,0,0,"[0.9804797172546387, 0.019520321860909462]"
ISIC_0278130,0,0,"[0.9924367070198059, 0.007563330698758364]"
ISIC_0279526,0,0,"[0.9467219710350037, 0.05327797681093216]"
ISIC_0280749,0,0,"[0.9589457511901855, 0.04105423763394356]"
ISIC_0281753,0,0,"[0.987251877784729, 0.012748189270496368]"
ISIC_0283463,0,0,"[0.9705679416656494, 0.02943202294409275]"
ISIC_0284295,0,0,"[0.9726448059082031, 0.02735522948205471]"
ISIC_0285157,0,0,"[0.990766167640686, 0.009233840741217136]"
ISIC_0288916,0,0,"[0.9929839372634888, 0.007016038987785578]"
ISIC_0290881,0,0,"[0.8226754069328308, 0.17732463777065277]"
ISIC_0291394,0,0,"[0.9469090700149536, 0.05309092625975609]"
ISIC_0291882,0,0,"[0.9905340671539307, 0.009465975686907768]"
ISIC_0292349,0,0,"[0.9946951270103455, 0.005304908379912376]"
ISIC_0292616,0,0,"[0.869737982749939, 0.13026198744773865]"
ISIC_0293086,0,0,"[0.9919840693473816, 0.00801591295748949]"
ISIC_0293416,0,0,"[0.7928688526153564, 0.20713116228580475]"
ISIC_0293607,0,0,"[0.9042690992355347, 0.09573090076446533]"
ISIC_0294399,0,0,"[0.9887101054191589, 0.01128995232284069]"
ISIC_0294687,0,0,"[0.9955278038978577, 0.0044722105376422405]"
ISIC_0295820,0,0,"[0.9902077317237854, 0.009792231023311615]"
ISIC_0296580,0,0,"[0.9948493838310242, 0.005150614306330681]"
ISIC_0297032,0,0,"[0.9938358664512634, 0.006164076738059521]"
ISIC_0301931,0,0,"[0.8039400577545166, 0.1960599273443222]"
ISIC_0304042,0,0,"[0.9326610565185547, 0.06733901053667068]"
ISIC_0308722,0,0,"[0.933151125907898, 0.06684887409210205]"
ISIC_0309642,0,0,"[0.8999481797218323, 0.10005178302526474]"
ISIC_0311369,0,0,"[0.9939746260643005, 0.006025363691151142]"
ISIC_0311783,0,0,"[0.9828664660453796, 0.01713350974023342]"
ISIC_0313422,0,0,"[0.9895351529121399, 0.010464823804795742]"
ISIC_0315631,0,0,"[0.953377366065979, 0.04662267118692398]"
ISIC_0316484,0,0,"[0.9925186634063721, 0.007481313776224852]"
ISIC_0316668,0,0,"[0.9863542914390564, 0.013645662926137447]"
ISIC_0318642,0,0,"[0.9921104311943054, 0.007889595814049244]"
ISIC_0323624,0,0,"[0.9368190765380859, 0.06318088620901108]"
ISIC_0325771,0,0,"[0.9942438006401062, 0.005756249651312828]"
ISIC_0330567,0,0,"[0.9947620034217834, 0.005238021723926067]"
ISIC_0333736,0,0,"[0.9956424236297607, 0.0043576364405453205]"
ISIC_0334101,0,0,"[0.9832426905632019, 0.01675732433795929]"
ISIC_0337541,0,0,"[0.9959304928779602, 0.00406954251229763]"
ISIC_0341262,0,0,"[0.9886981248855591, 0.011301961727440357]"
ISIC_0341298,0,0,"[0.9591979384422302, 0.04080206900835037]"
ISIC_0344052,0,0,"[0.8039539456367493, 0.19604606926441193]"
ISIC_0345499,0,0,"[0.9585128426551819, 0.041487161070108414]"
ISIC_0350875,0,0,"[0.8939682245254517, 0.10603176057338715]"
ISIC_0353165,0,0,"[0.9960243701934814, 0.003975655883550644]"
ISIC_0354123,0,0,"[0.995376706123352, 0.004623291082680225]"
ISIC_0356238,0,0,"[0.8406240940093994, 0.1593758761882782]"
ISIC_0359698,0,0,"[0.988535463809967, 0.011464597657322884]"
ISIC_0360068,0,0,"[0.9956315755844116, 0.004368412774056196]"
ISIC_0361914,0,0,"[0.9955162405967712, 0.004483776167035103]"
ISIC_0363130,0,0,"[0.9885451197624207, 0.011454829946160316]"
ISIC_0363576,0,0,"[0.9866247177124023, 0.013375282287597656]"
ISIC_0365216,0,0,"[0.993770182132721, 0.006229746621102095]"
ISIC_0365410,0,0,"[0.9158878922462463, 0.08411214500665665]"
ISIC_0365540,0,0,"[0.9957665205001831, 0.004233508836477995]"
ISIC_0366021,0,0,"[0.9443706274032593, 0.055629368871450424]"
ISIC_0366085,0,0,"[0.9036754965782166, 0.09632452577352524]"
ISIC_0367225,0,0,"[0.9468002915382385, 0.05319969356060028]"
ISIC_0368894,0,0,"[0.941548228263855, 0.05845175310969353]"
ISIC_0371772,0,0,"[0.993636965751648, 0.00636305520310998]"
ISIC_0372456,0,0,"[0.9789178967475891, 0.02108205482363701]"
ISIC_0375068,0,0,"[0.9284272193908691, 0.07157285511493683]"
ISIC_0375073,0,0,"[0.9109915494918823, 0.08900844305753708]"
ISIC_0376301,0,0,"[0.8915104866027832, 0.108489491045475]"
ISIC_0379624,0,0,"[0.9950807094573975, 0.004919236991554499]"
ISIC_0379931,0,0,"[0.9820813536643982, 0.01791863702237606]"
ISIC_0383804,0,0,"[0.925352156162262, 0.07464782148599625]"
ISIC_0385579,0,0,"[0.992576539516449, 0.00742340600118041]"
ISIC_0386664,0,0,"[0.9822424650192261, 0.017757486552000046]"
ISIC_0389629,0,0,"[0.9948170781135559, 0.005182957276701927]"
ISIC_0390920,0,0,"[0.9758481383323669, 0.024151848629117012]"
ISIC_0392105,0,0,"[0.9390060901641846, 0.06099388375878334]"
ISIC_0393088,0,0,"[0.883737325668335, 0.11626261472702026]"
ISIC_0396184,0,0,"[0.8955506682395935, 0.1044493243098259]"
ISIC_0397577,0,0,"[0.9915401339530945, 0.008459898643195629]"
ISIC_0397658,0,0,"[0.9296402931213379, 0.07035968452692032]"
ISIC_0398005,0,0,"[0.9670447111129761, 0.032955266535282135]"
ISIC_0399051,0,0,"[0.994664192199707, 0.0053357696160674095]"
ISIC_0399220,0,0,"[0.9928669929504395, 0.0071329823695123196]"
ISIC_0399416,0,0,"[0.8945150971412659, 0.10548490285873413]"
ISIC_0401522,0,0,"[0.9933517575263977, 0.006648295093327761]"
ISIC_0402533,0,0,"[0.9002838134765625, 0.09971611946821213]"
ISIC_0402674,0,0,"[0.9863731861114502, 0.013626794330775738]"
ISIC_0405163,0,0,"[0.9082096815109253, 0.09179028868675232]"
ISIC_0405253,0,0,"[0.9953059554100037, 0.004694010596722364]"
ISIC_0405554,0,0,"[0.9390882849693298, 0.06091167405247688]"
ISIC_0405780,0,0,"[0.8685437440872192, 0.13145633041858673]"
ISIC_0407905,0,0,"[0.8679537177085876, 0.13204620778560638]"
ISIC_0409172,0,0,"[0.8867275714874268, 0.11327239125967026]"
ISIC_0410826,0,0,"[0.9648177623748779, 0.035182204097509384]"
ISIC_0411005,0,0,"[0.9890530705451965, 0.010946988128125668]"
ISIC_0412482,0,0,"[0.9590620398521423, 0.040937963873147964]"
ISIC_0412915,0,0,"[0.981895923614502, 0.018104003742337227]"
ISIC_0413111,0,0,"[0.9871019721031189, 0.012897948734462261]"
ISIC_0413472,0,0,"[0.9142934679985046, 0.08570647239685059]"
ISIC_0413512,0,0,"[0.9162691235542297, 0.08373081684112549]"
ISIC_0414259,0,0,"[0.9956739544868469, 0.00432603107765317]"
ISIC_0415496,0,0,"[0.9952697157859802, 0.004730247426778078]"
ISIC_0422299,0,0,"[0.9445567727088928, 0.05544314906001091]"
ISIC_0423395,0,0,"[0.9953131675720215, 0.00468677980825305]"
ISIC_0424324,0,0,"[0.9904950857162476, 0.009504912421107292]"
ISIC_0427813,0,0,"[0.9951731562614441, 0.004826914984732866]"
ISIC_0430356,0,0,"[0.9583157300949097, 0.04168432950973511]"
ISIC_0431008,0,0,"[0.9166874885559082, 0.08331257104873657]"
ISIC_0432077,0,0,"[0.9944620728492737, 0.005537876393646002]"
ISIC_0433742,0,0,"[0.9957635402679443, 0.004236418288201094]"
ISIC_0434354,0,0,"[0.9951258301734924, 0.004874138161540031]"
ISIC_0436161,0,0,"[0.9783902168273926, 0.021609755232930183]"
ISIC_0436964,0,0,"[0.9884129166603088, 0.01158705074340105]"
ISIC_0437567,0,0,"[0.887948751449585, 0.11205123364925385]"
ISIC_0437978,0,0,"[0.9506990313529968, 0.049300942569971085]"
ISIC_0439527,0,0,"[0.8720213174819946, 0.12797865271568298]"
ISIC_0439950,0,0,"[0.9898271560668945, 0.01017281599342823]"
ISIC_0441120,0,0,"[0.9554262161254883, 0.04457370564341545]"
ISIC_0441415,0,0,"[0.9945173859596252, 0.005482617300003767]"
ISIC_0444937,0,0,"[0.9928585290908813, 0.007141537964344025]"
ISIC_0448016,0,0,"[0.9924617409706116, 0.007538306061178446]"
ISIC_0450108,0,0,"[0.9918115139007568, 0.008188510313630104]"
ISIC_0452356,0,0,"[0.9667064547538757, 0.03329351916909218]"
ISIC_0455456,0,0,"[0.9337571263313293, 0.06624282151460648]"
ISIC_0457385,0,0,"[0.9890433549880981, 0.010956620797514915]"
ISIC_0460608,0,0,"[0.9949246644973755, 0.005075272172689438]"
ISIC_0460815,0,0,"[0.9838653206825256, 0.01613469049334526]"
ISIC_0461128,0,0,"[0.9439290761947632, 0.05607090890407562]"
ISIC_0462956,0,0,"[0.9138698577880859, 0.08613009750843048]"
ISIC_0463308,0,0,"[0.9957833290100098, 0.004216727335005999]"
ISIC_0463755,0,0,"[0.9627940654754639, 0.03720596060156822]"
ISIC_0465476,0,0,"[0.995211660861969, 0.004788329359143972]"
ISIC_0468433,0,0,"[0.9846648573875427, 0.015335120260715485]"
ISIC_0469542,0,0,"[0.9916070699691772, 0.00839296169579029]"
ISIC_0473257,0,0,"[0.9718542695045471, 0.028145682066679]"
ISIC_0476606,0,0,"[0.9949575066566467, 0.0050424630753695965]"
ISIC_0481059,0,0,"[0.9947929978370667, 0.005207043141126633]"
ISIC_0481702,0,0,"[0.885447084903717, 0.11455294489860535]"
ISIC_0482495,0,0,"[0.994779109954834, 0.005220868159085512]"
ISIC_0483289,0,0,"[0.9712892770767212, 0.028710702434182167]"
ISIC_0483469,0,0,"[0.9941283464431763, 0.005871669854968786]"
ISIC_0483872,0,0,"[0.9843041300773621, 0.015695860609412193]"
ISIC_0484568,0,0,"[0.9586082100868225, 0.04139183089137077]"
ISIC_0485529,0,0,"[0.9857091903686523, 0.014290852472186089]"
ISIC_0486516,0,0,"[0.995053231716156, 0.004946831148117781]"
ISIC_0489267,1,0,"[0.953044056892395, 0.04695592075586319]"
ISIC_0490442,0,0,"[0.9665895104408264, 0.033410508185625076]"
ISIC_0491818,0,0,"[0.9076746106147766, 0.09232534468173981]"
ISIC_0494383,0,0,"[0.995514452457428, 0.004485601093620062]"
ISIC_0494865,0,0,"[0.9553216695785522, 0.044678300619125366]"
ISIC_0497390,0,0,"[0.939197301864624, 0.06080266460776329]"
ISIC_0497873,0,0,"[0.9380574822425842, 0.061942487955093384]"
ISIC_0501506,0,0,"[0.9903869032859802, 0.009613065049052238]"
ISIC_0502419,0,0,"[0.995608389377594, 0.004391616676002741]"
ISIC_0504730,0,0,"[0.9279173016548157, 0.07208272814750671]"
ISIC_0505770,0,0,"[0.948652982711792, 0.05134708806872368]"
ISIC_0506901,0,0,"[0.9501508474349976, 0.049849167466163635]"
ISIC_0509567,0,0,"[0.9785943031311035, 0.02140575461089611]"
ISIC_0510617,0,0,"[0.9916150569915771, 0.008385004475712776]"
ISIC_0515441,0,0,"[0.9137799739837646, 0.08622007071971893]"
ISIC_0515736,0,0,"[0.9955244064331055, 0.004475619178265333]"
ISIC_0515794,0,0,"[0.9953694939613342, 0.004630460869520903]"
ISIC_0517460,0,0,"[0.7891156077384949, 0.21088439226150513]"
ISIC_0519705,0,0,"[0.9700632095336914, 0.029936816543340683]"
ISIC_0519719,0,0,"[0.9324150085449219, 0.06758496165275574]"
ISIC_0519765,0,0,"[0.8494647741317749, 0.1505352407693863]"
ISIC_0522785,0,0,"[0.9716118574142456, 0.028388142585754395]"
ISIC_0523031,0,0,"[0.9648204445838928, 0.03517952933907509]"
ISIC_0523247,0,0,"[0.8801764845848083, 0.11982358247041702]"
ISIC_0523771,0,0,"[0.9880309700965881, 0.011969017796218395]"
ISIC_0527350,0,0,"[0.9929525256156921, 0.007047432474792004]"
ISIC_0528044,1,0,"[0.9332541227340698, 0.06674584746360779]"
ISIC_0535920,0,0,"[0.9947556257247925, 0.005244341213256121]"
ISIC_0536321,0,0,"[0.995844304561615, 0.004155742470175028]"
ISIC_0543351,0,0,"[0.9927470088005066, 0.00725299259647727]"
ISIC_0543494,0,0,"[0.9576188325881958, 0.04238118231296539]"
ISIC_0545838,0,0,"[0.9616992473602295, 0.03830074891448021]"
ISIC_0546980,0,0,"[0.9796460270881653, 0.020353922620415688]"
ISIC_0547893,0,0,"[0.8400822877883911, 0.15991775691509247]"
ISIC_0547934,0,0,"[0.9834507703781128, 0.01654922589659691]"
ISIC_0548022,0,0,"[0.9949061870574951, 0.005093833897262812]"
ISIC_0548447,0,0,"[0.8181328177452087, 0.18186715245246887]"
ISIC_0549211,0,0,"[0.9816765785217285, 0.018323414027690887]"
ISIC_0551708,0,0,"[0.9404456615447998, 0.059554360806941986]"
ISIC_0551712,0,0,"[0.9927254915237427, 0.0072745452634990215]"
ISIC_0552953,0,0,"[0.9954261183738708, 0.004573876969516277]"
ISIC_0553509,0,0,"[0.9774138927459717, 0.02258608490228653]"
ISIC_0557377,0,0,"[0.9928343296051025, 0.007165650837123394]"
ISIC_0558046,0,0,"[0.9383129477500916, 0.06168702617287636]"
ISIC_0559335,1,0,"[0.9293157458305359, 0.07068425416946411]"
ISIC_0559481,0,0,"[0.9910458922386169, 0.008954143151640892]"
ISIC_0559686,0,0,"[0.9264149069786072, 0.0735851302742958]"
ISIC_0561295,0,0,"[0.9955714344978333, 0.0044285948388278484]"
ISIC_0563705,0,0,"[0.9951186180114746, 0.004881452769041061]"
ISIC_0564568,0,0,"[0.9266197681427002, 0.073380246758461]"
ISIC_0566804,0,0,"[0.9929375052452087, 0.007062500808387995]"
ISIC_0568828,0,0,"[0.9264761805534363, 0.07352383434772491]"
ISIC_0568867,0,0,"[0.9838396906852722, 0.016160307452082634]"
ISIC_0570742,0,0,"[0.995103120803833, 0.004896842874586582]"
ISIC_0571560,0,0,"[0.9461037516593933, 0.053896259516477585]"
ISIC_0573518,0,0,"[0.9736277461051941, 0.026372231543064117]"
ISIC_0574880,0,0,"[0.8370776772499084, 0.16292230784893036]"
ISIC_0578534,0,0,"[0.9925219416618347, 0.007478003390133381]"
ISIC_0579562,0,0,"[0.9452625513076782, 0.0547373928129673]"
ISIC_0584978,0,0,"[0.9866015315055847, 0.013398458249866962]"
ISIC_0586782,0,0,"[0.9957915544509888, 0.004208452068269253]"
ISIC_0588328,0,0,"[0.9292151927947998, 0.07078482955694199]"
ISIC_0591011,0,0,"[0.9918158650398254, 0.008184154517948627]"
ISIC_0592946,0,0,"[0.9887500405311584, 0.011249975301325321]"
ISIC_0593591,0,0,"[0.9892985820770264, 0.010701408609747887]"
ISIC_0594068,0,0,"[0.9874911308288574, 0.012508857995271683]"
ISIC_0596524,0,0,"[0.9392141699790955, 0.06078583747148514]"
ISIC_0601576,0,0,"[0.9753066897392273, 0.024693254381418228]"
ISIC_0602723,0,0,"[0.9952918291091919, 0.004708209075033665]"
ISIC_0603777,0,0,"[0.9944802522659302, 0.005519744474440813]"
ISIC_0606437,0,0,"[0.9878752827644348, 0.012124772183597088]"
ISIC_0607836,0,0,"[0.9953022003173828, 0.004697808064520359]"
ISIC_0608454,0,0,"[0.9836424589157104, 0.016357559710741043]"
ISIC_0608613,0,0,"[0.9328190088272095, 0.06718095391988754]"
ISIC_0612291,0,0,"[0.9948286414146423, 0.0051713851280510426]"
ISIC_0612624,0,0,"[0.7618576288223267, 0.23814238607883453]"
ISIC_0613014,0,0,"[0.9899625182151794, 0.010037465021014214]"
ISIC_0615782,0,0,"[0.776059091091156, 0.223940908908844]"
ISIC_0616348,0,0,"[0.9492555260658264, 0.05074450001120567]"
ISIC_0616491,0,0,"[0.9924665093421936, 0.007533456198871136]"
ISIC_0621866,0,0,"[0.9351516962051392, 0.06484834849834442]"
ISIC_0622084,0,0,"[0.9327453374862671, 0.06725463271141052]"
ISIC_0623444,0,0,"[0.9856884479522705, 0.014311548322439194]"
ISIC_0623857,0,0,"[0.9366093873977661, 0.06339060515165329]"
ISIC_0625777,0,0,"[0.9949910044670105, 0.005009048618376255]"
ISIC_0626501,0,0,"[0.9251145720481873, 0.07488541305065155]"
ISIC_0626653,0,0,"[0.9488331079483032, 0.05116685479879379]"
ISIC_0628277,0,0,"[0.9941776990890503, 0.005822338629513979]"
ISIC_0628352,0,0,"[0.980472981929779, 0.01952706277370453]"
ISIC_0628726,0,0,"[0.9719663262367249, 0.02803371660411358]"
ISIC_0632512,0,0,"[0.99116450548172, 0.00883542001247406]"
ISIC_0633126,0,0,"[0.9932047128677368, 0.0067953369580209255]"
ISIC_0637539,0,0,"[0.9913217425346375, 0.008678270503878593]"
ISIC_0638468,0,0,"[0.8963773846626282, 0.10362256318330765]"
ISIC_0638575,0,0,"[0.9745278358459473, 0.02547210454940796]"
ISIC_0638652,0,0,"[0.9339092373847961, 0.06609072536230087]"
ISIC_0638889,0,0,"[0.9829962849617004, 0.017003726214170456]"
ISIC_0639162,0,0,"[0.9043064713478088, 0.09569356590509415]"
ISIC_0641330,0,0,"[0.945507287979126, 0.05449272319674492]"
ISIC_0644590,0,0,"[0.7614026665687561, 0.23859725892543793]"
ISIC_0644970,0,0,"[0.9936338663101196, 0.006366106681525707]"
ISIC_0645777,0,0,"[0.9884194135665894, 0.011580593883991241]"
ISIC_0648752,0,0,"[0.9948969483375549, 0.005103013012558222]"
ISIC_0648773,0,0,"[0.9807466864585876, 0.019253337755799294]"
ISIC_0652203,0,0,"[0.9956666231155396, 0.004333384335041046]"
ISIC_0652867,0,0,"[0.9824656248092651, 0.017534347251057625]"
ISIC_0653633,0,0,"[0.9956433773040771, 0.004356651566922665]"
ISIC_0653785,0,0,"[0.9480209350585938, 0.05197900906205177]"
ISIC_0654462,0,0,"[0.9809274673461914, 0.019072534516453743]"
ISIC_0654672,0,0,"[0.9954404830932617, 0.004559527616947889]"
ISIC_0662183,0,0,"[0.9925423860549927, 0.0074576144106686115]"
ISIC_0662911,0,0,"[0.8694953918457031, 0.13050465285778046]"
ISIC_0668924,0,0,"[0.9341992139816284, 0.06580083817243576]"
ISIC_0669666,0,0,"[0.9957162737846375, 0.004283702466636896]"
ISIC_0671826,0,0,"[0.9701546430587769, 0.029845327138900757]"
ISIC_0674644,0,0,"[0.9535055160522461, 0.04649442434310913]"
ISIC_0674662,0,0,"[0.8656967878341675, 0.13430316746234894]"
ISIC_0675972,0,0,"[0.9167923927307129, 0.0832076370716095]"
ISIC_0678121,0,0,"[0.9290643930435181, 0.07093563675880432]"
ISIC_0678299,0,0,"[0.9900733232498169, 0.009926713071763515]"
ISIC_0680023,0,0,"[0.9224362969398499, 0.07756365090608597]"
ISIC_0680599,0,0,"[0.99236661195755, 0.0076333326287567616]"
ISIC_0680651,0,0,"[0.9824457168579102, 0.01755429618060589]"
ISIC_0681153,0,0,"[0.9606809020042419, 0.03931909799575806]"
ISIC_0681844,0,0,"[0.9956461787223816, 0.004353739321231842]"
ISIC_0682795,0,0,"[0.9494408369064331, 0.05055912584066391]"
ISIC_0685154,0,0,"[0.9726518988609314, 0.027348151430487633]"
ISIC_0686839,0,0,"[0.9274474382400513, 0.07255256921052933]"
ISIC_0687554,0,0,"[0.9873512387275696, 0.012648801319301128]"
ISIC_0687593,0,0,"[0.9922125935554504, 0.007787386421114206]"
ISIC_0690264,0,0,"[0.9396043419837952, 0.06039571017026901]"
ISIC_0690822,0,0,"[0.9935663342475891, 0.006433662958443165]"
ISIC_0691554,0,0,"[0.9803198575973511, 0.019680088385939598]"
ISIC_0692839,0,0,"[0.991975724697113, 0.008024316281080246]"
ISIC_0695029,0,0,"[0.9452917575836182, 0.054708272218704224]"
ISIC_0696303,0,0,"[0.9937081336975098, 0.0062918574549257755]"
ISIC_0696408,0,0,"[0.9762973189353943, 0.023702720180153847]"
ISIC_0700213,0,0,"[0.9836702346801758, 0.016329707577824593]"
ISIC_0700768,0,0,"[0.9948074221611023, 0.0051925587467849255]"
ISIC_0702876,0,0,"[0.9410621523857117, 0.05893787741661072]"
ISIC_0704618,0,0,"[0.9391651153564453, 0.0608348622918129]"
ISIC_0705641,0,0,"[0.9316747188568115, 0.06832525134086609]"
ISIC_0708542,0,0,"[0.9498180747032166, 0.050181981176137924]"
ISIC_0708552,0,0,"[0.9837655425071716, 0.016234515234827995]"
